invoice_id,customer_id,issue_date,due_date,amount,status,days_past_due,blocked
INV000001,1317,2025-01-11,2025-01-31,3696.69,paid,379,False
INV000002,1842,2025-04-03,2025-05-17,4437.69,paid,273,True
INV000003,1035,2025-03-20,2025-05-17,4609.23,paid,273,False
INV000004,1446,2025-02-22,2025-04-17,2542.98,paid,303,False
INV000005,1800,2025-02-21,2025-03-20,2625.36,open,331,False
INV000006,1952,2025-04-14,2025-05-19,4009.36,paid,271,False
INV000007,1251,2025-01-11,2025-02-18,1606.53,open,361,False
INV000008,1650,2025-03-25,2025-04-20,4195.04,paid,300,False
INV000009,1189,2025-01-25,2025-02-21,2496.0,open,358,False
INV000010,1115,2025-01-12,2025-02-06,623.49,paid,373,False
INV000011,1353,2025-03-05,2025-05-03,406.69,open,287,False
INV000012,1885,2025-04-28,2025-06-15,4217.87,paid,244,False
INV000013,1689,2025-03-30,2025-05-21,325.06,paid,269,False
INV000014,1489,2025-04-02,2025-05-23,1439.03,partial,267,False
INV000015,1282,2025-03-28,2025-05-25,1703.94,paid,265,False
INV000016,1141,2025-04-05,2025-04-24,906.32,paid,296,False
INV000017,1270,2025-03-03,2025-04-26,1603.77,open,294,False
INV000018,1152,2025-01-16,2025-02-02,3726.33,open,377,True
INV000019,1187,2025-04-11,2025-05-17,122.68,paid,273,False
INV000020,1687,2025-02-24,2025-04-06,4144.51,paid,314,False
INV000021,1132,2025-03-02,2025-04-02,4289.91,open,318,False
INV000022,1047,2025-02-14,2025-03-07,1892.69,open,344,False
INV000023,1542,2025-01-22,2025-02-14,810.38,partial,365,False
INV000024,1286,2025-04-22,2025-06-13,3024.16,paid,246,False
INV000025,1454,2025-04-04,2025-05-03,642.38,open,287,False
INV000026,1139,2025-03-19,2025-04-16,1856.35,paid,304,False
INV000027,1209,2025-02-18,2025-04-15,4794.22,open,305,False
INV000028,1441,2025-04-09,2025-04-30,4977.55,paid,290,False
INV000029,1690,2025-03-07,2025-05-02,3871.92,open,288,False
INV000030,1414,2025-02-23,2025-04-20,1589.26,paid,300,False
INV000031,1541,2025-02-24,2025-04-06,3453.94,paid,314,False
INV000032,1521,2025-01-28,2025-02-19,3541.76,open,360,False
INV000033,1268,2025-01-12,2025-02-03,1969.82,paid,376,False
INV000034,1279,2025-03-08,2025-04-04,3222.4,open,316,False
INV000035,1425,2025-04-17,2025-05-27,103.1,paid,263,False
INV000036,1032,2025-01-08,2025-01-29,1084.84,open,381,False
INV000037,1685,2025-04-13,2025-05-18,2649.19,paid,272,False
INV000038,1614,2025-04-10,2025-04-30,860.57,paid,290,False
INV000039,1306,2025-02-03,2025-03-14,871.24,paid,337,False
INV000040,1373,2025-03-17,2025-04-01,4189.71,paid,319,False
INV000041,1328,2025-01-20,2025-03-07,4946.21,paid,344,False
INV000042,1651,2025-04-01,2025-04-18,2802.05,open,302,False
INV000043,1759,2025-03-26,2025-04-18,4203.4,open,302,False
INV000044,1108,2025-02-12,2025-03-06,4952.09,open,345,False
INV000045,1413,2025-01-09,2025-03-02,750.9,paid,349,False
INV000046,1013,2025-04-27,2025-05-14,2268.82,paid,276,False
INV000047,1452,2025-02-23,2025-03-29,1993.23,paid,322,False
INV000048,1248,2025-04-18,2025-05-29,446.24,open,261,False
INV000049,1335,2025-03-23,2025-04-30,3788.88,open,290,False
INV000050,1456,2025-04-04,2025-05-19,2197.21,paid,271,False
INV000051,1323,2025-04-02,2025-05-23,2373.17,open,267,False
INV000052,1394,2025-01-24,2025-02-25,795.83,paid,354,False
INV000053,1764,2025-02-13,2025-04-06,945.59,paid,314,False
INV000054,1810,2025-02-26,2025-03-27,4540.16,paid,324,False
INV000055,1005,2025-03-01,2025-04-29,271.01,paid,291,False
INV000056,1377,2025-01-06,2025-02-12,1202.62,open,367,False
